HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,2.75,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
3.5,3.0,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
