,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
8,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
9,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
10,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
11,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
12,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
13,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
14,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
15,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
16,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
17,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
18,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
19,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
20,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
21,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
22,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
23,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
24,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
25,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
26,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
27,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
28,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
29,3.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.0
30,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
31,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
32,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
33,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
34,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
35,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
36,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
37,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
38,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
39,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
40,3.5,3.5,3.5,4.0,3.0,3.5,3.0,4.0,3.0
