Date,Tenure,HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
2023-07-20,7 - 14 days,3.0,,,,,,,,,
2023-07-20,15 - 29 days,3.0,,,,,,,,,
2023-07-20,30 - 45 days,3.5,,,,,,,,,
2023-07-20,46 - 60 days,4.5,,,,,,,,,
2023-07-20,61 - 89 days,4.5,,,,,,,,,
2023-07-20,90 days - 6 months,4.5,,,,,,,,,
2023-07-20,6 months 1 day - 9 months,5.75,,,,,,,,,
2023-07-20,9 months 1 day - less than 1 year,6.0,,,,,,,,,
2023-07-20,1 year - less than 15 months,6.6,,,,,,,,,
2023-07-20,15 months - less than 18 months,7.1,,,,,,,,,
2023-07-20,18 months - less than 21 months,7.0,,,,,,,,,
2023-07-20,21 months  - 2 years,7.0,,,,,,,,,
2023-07-20,2 years 1 day - less than 2 years 11 months,7.0,,,,,,,,,
2023-07-20,2 years 11 months ,7.2,,,,,,,,,
2023-07-20,2 years 11 months 1 day - 3 years,7.0,,,,,,,,,
2023-07-20,3 years 1 day - less than 4 years 7 months,7.0,,,,,,,,,
2023-07-20,4 years 7 months ,7.25,,,,,,,,,
2023-07-20,4 years 7 months 1 day - 5 years,7.0,,,,,,,,,
2023-07-20,5 years 1 day - 10 years,7.0,,,,,,,,,
2023-07-20,7 - 14 days,,2.75,,,,,,,,
2023-07-20,15 - 30 days,,3.0,,,,,,,,
2023-07-20,31 - 45 days,,3.25,,,,,,,,
2023-07-20,46 - 90 days,,3.5,,,,,,,,
2023-07-20,91 - 120 days,,4.0,,,,,,,,
2023-07-20,121 - 179 days,,4.25,,,,,,,,
2023-07-20,180 days,,7.0,,,,,,,,
2023-07-20,181 days - 269 days,,6.0,,,,,,,,
2023-07-20,270 days,,6.0,,,,,,,,
2023-07-20,271 days - 363 days,,6.0,,,,,,,,
2023-07-20,364 days,,6.5,,,,,,,,
2023-07-20,365 days - 389 days,,7.1,,,,,,,,
2023-07-20,390 days ,,7.2,,,,,,,,
2023-07-20,391 days - less than 23 months,,7.2,,,,,,,,
2023-07-20,23 months,,7.2,,,,,,,,
2023-07-20,23 months 1 day - less than 2 years,,7.2,,,,,,,,
2023-07-20,2 years - less than 3 years,,7.0,,,,,,,,
2023-07-20,3 years - less than 4 years,,6.5,,,,,,,,
2023-07-20,4 years - less than 5 years,,6.25,,,,,,,,
2023-07-20,5 years - 10 years,,6.2,,,,,,,,
2023-07-20,7 days - 14 days,,,3.0,,,,,,,
2023-07-20,15 days - 29 days,,,3.0,,,,,,,
2023-07-20,30 days - 45 days,,,3.5,,,,,,,
2023-07-20,46 days - 60 days,,,4.25,,,,,,,
2023-07-20,61 days - 90 days,,,4.5,,,,,,,
2023-07-20,91 days - 120 days,,,4.75,,,,,,,
2023-07-20,121 days - 150 days,,,4.75,,,,,,,
2023-07-20,151 days - 184 days,,,4.75,,,,,,,
2023-07-20,185 days - 210 days,,,5.75,,,,,,,
2023-07-20,211 days - 270 days,,,5.75,,,,,,,
2023-07-20,271 days - 289 days,,,6.0,,,,,,,
2023-07-20,290 days - less than 1 year,,,6.0,,,,,,,
2023-07-20,1 year - 389 days,,,6.7,,,,,,,
2023-07-20,390 days - < 15 months,,,6.7,,,,,,,
2023-07-20,15 months - < 18 months,,,7.1,,,,,,,
2023-07-20,18 months - 2 years,,,7.1,,,,,,,
2023-07-20,2 years 1 day - 3 years,,,7.0,,,,,,,
2023-07-20,3 years 1 day - 5 years,,,7.0,,,,,,,
2023-07-20,5 years 1 day - 10 years,,,6.9,,,,,,,
2023-07-20,7 days - 14 days,,,,3.0,,,,,,
2023-07-20,15 days - 29 days,,,,3.0,,,,,,
2023-07-20,30 days - 45 days,,,,3.5,,,,,,
2023-07-20,46 days - 60 days,,,,4.25,,,,,,
2023-07-20,61 days - less than 3 months,,,,4.5,,,,,,
2023-07-20,3 months - less than 4 months,,,,4.75,,,,,,
