Tenure,General Rate,Senior Rate,Min Value,Max Value
7 - 14 days,3.0,3.50,7,14
15 - 29 days,3.0,3.50,15,29
30 - 45 days,3.5,4.00,30,45
46 - 60 days,4.5,5.00,46,60
61 - 89 days,4.5,5.00,61,89
90 days - 6 months,4.5,5.00,90,180
6 months 1 day - 9 months,5.75,6.25,181,270
9 months 1 day - less than 1 year,6.0,6.50,271,364
1 year - less than 15 months,6.6,7.10,365,450
15 months - less than 18 months,7.1,7.60,450,540
18 months - less than 21 months,7.0,7.50,540,630
21 months  - 2 years,7.0,7.50,630,730
2 years 1 day - less than 2 years 11 months,7.0,7.50,731,1059
2 years 11 months ,7.2,7.70,1060,1060
2 years 11 months 1 day - 3 years,7.0,7.50,1061,1095
3 years 1 day - less than 4 years 7 months,7.0,7.50,1096,1669
4 years 7 months ,7.25,7.75,1670,1670
4 years 7 months 1 day - 5 years,7.0,7.50,1671,1825
5 years 1 day - 10 years,7.0,7.75*,1826,3650
